;Question;Answer;BT_Level
18;how many departments are within the stinson-remick hall of engineering ?;today the college , housed in the fitzpatrick , cushing , and stinson-remick halls of engineering , includes five departments of study -- aerospace and mechanical engineering , chemical and biomolecular engineering , civil engineering and geological sciences , computer science and engineering , and electrical engineering -- with eight b.s. degrees offered .;Knowledge
19;the college of science began to offer civil engineering courses beginning at what time at notre dame ?;the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s .;Knowledge
20;what entity provides help with the management of time for new students at notre dame ?;the program also includes a learning resource center which provides time management , collaborative learning , and subject tutoring .;Synthesis
21;how many colleges for undergraduates are at notre dame ?;all of notre dame 's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the first year of studies program .;Knowledge
22;what was created at notre dame in 1962 to assist first year students ?;the first year of studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major .;Knowledge
23;which organization declared the first year of studies program at notre dame `` outstanding ? '';this program has been recognized previously , by u.s. news & world report , as outstanding .;Knowledge
24;the granting of doctorate degrees first occurred in what year at notre dame ?;this changed in 1924 with formal requirements developed for graduate degrees , including offering doctorate ( phd ) degrees .;Knowledge
25;what type of degree is an m.div . ?;most of the departments from the college of arts and letters offer phd programs , while a professional master of divinity ( m.div . );Knowledge
26;which program at notre dame offers a master of education degree ?;additionally , the alliance for catholic education program offers a master of education program where students study at the university during the summer and teach in catholic elementary schools , middle schools , and high schools across the southern united states for two school years .;Knowledge
27;in what year was a master of arts course first offered at notre dame ?;the university first offered graduate degrees , in the form of a master of arts ( ma ) , in the 1854 -- 1855 academic year .;Knowledge
28;which department at notre dame is the only one to not offer a phd program ?;all of the departments in the college of science offer phd programs , except for the department of pre-professional studies .;Evaluation
29;what institute at notre dame studies the reasons for violent conflict ?;the joan b. kroc institute for international peace studies at the university of notre dame is dedicated to research , education and outreach on the causes of violent conflict and the conditions for sustainable peace .;Evaluation
30;what is the title of notre dame 's theodore hesburgh ?;the institute was inspired by the vision of the rev. theodore m. hesburgh csc , president emeritus of the university of notre dame .;Knowledge
31;in what year was the joan b. kroc institute for international peace studies founded ?;it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc .;Knowledge
32;to whom was john b. kroc married ?;it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc .;Knowledge
33;what company did ray kroc own ?;it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc .;Knowledge
34;what is the name of the main library at notre dame ?;the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books .;Knowledge
35;in what year was the theodore m. hesburgh library at notre dame finished ?;the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books .;Knowledge
36;which artist created the mural on the theodore m. hesburgh library ?;the front of the library is adorned with the word of life mural designed by artist millard sheets .;Knowledge
37;what is a common name to reference the mural created by millard sheets at notre dame ?;this mural is popularly known as `` touchdown jesus '' because of its proximity to notre dame stadium and jesus ' arms appearing to make the signal for a touchdown .;Knowledge
38;how many incoming students did notre dame admit in fall 2015 ?;notre dame is known for its competitive admissions , with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 ( 19.7 % ) .;Knowledge
39;what percentage of students were admitted to notre dame in fall 2015 ?;notre dame is known for its competitive admissions , with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 ( 19.7 % ) .;Knowledge
40;where does notre dame rank in terms of academic profile among research universities in the us ?;the academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities .;Knowledge
41;what percentage of students at notre dame participated in the early action program ?;1,400 of the 3,577 ( 39.1 % ) were admitted under the early action plan .;Knowledge
42;how many miles does the average student at notre dame travel to study there ?;admitted students came from 1,311 high schools and the average student traveled more than 750 miles to notre dame , making it arguably the most representative university in the united states .;Knowledge
43;where did u.s. news & world report rank notre dame in its 2015-2016 university rankings ?;in 2015-2016 , notre dame ranked 18th overall among `` national universities '' in the united states in u.s. news & world report 's best colleges 2016 .;Analysis
44;forbes.com placed notre dame at what position compared to other us research universities ?;forbes.com 's america 's best colleges ranks notre dame 13th among colleges in the united states in 2015 , 8th among research universities , and 1st in the midwest .;Analysis
45;the undergrad school at the mendoza college of business was ranked where according to businessweek ?;businessweek ranks mendoza college of business undergraduate school as 1st overall .;Knowledge
46;in 2014 what entity named notre dame 10th best of all american universities ?;in 2014 , usa today ranked notre dame 10th overall for american universities based on data from college factual .;Evaluation
47;what percentage of notre dame students decide to study abroad ?;additionally , the study abroad program ranks sixth in highest participation percentage in the nation , with 57.6 % of students choosing to study abroad in 17 countries .;Knowledge
48;what person was the director of the science museum at notre dame in the late 19th century ?;father joseph carrier , c.s.c. was director of the science museum and the library and professor of chemistry and physics until 1874 .;Knowledge
49;what was the lifespan of john augustine zahm ?;one of carrier 's students was father john augustine zahm ( 1851 -- 1921 ) who was made professor and co-director of the science department at age 23 and by 1900 was a nationally prominent scientist and naturalist .;Knowledge
50;what program did john augustine zahm come to co-direct at nore dame ?;one of carrier 's students was father john augustine zahm ( 1851 -- 1921 ) who was made professor and co-director of the science department at age 23 and by 1900 was a nationally prominent scientist and naturalist .;Synthesis
51;what book did john zahm write in 1896 ?;his book evolution and dogma ( 1896 ) defended certain aspects of evolutionary theory as true , and argued , moreover , that even the great church teachers thomas aquinas and augustine taught something like it .;Application
52;what professorship did father josh carrier hold at notre dame ?;father joseph carrier , c.s.c. was director of the science museum and the library and professor of chemistry and physics until 1874 .;Knowledge
53;in what year did albert zahm begin comparing aeronatical models at notre dame ?;in 1882 , albert zahm ( john zahm 's brother ) built an early wind tunnel used to compare lift to drag of aeronautical models .;Knowledge
54;which professor sent the first wireless message in the usa ?;around 1899 , professor jerome green became the first american to send a wireless message .;Knowledge
55;in what year did jerome green send his first wireless message ?;around 1899 , professor jerome green became the first american to send a wireless message .;Knowledge
56;which individual worked on projects at notre dame that eventually created neoprene ?;in 1931 , father julius nieuwland performed early work on basic reactions that was used to create neoprene .;Knowledge
57;what did the brother of john zahm construct at notre dame ?;in 1882 , albert zahm ( john zahm 's brother ) built an early wind tunnel used to compare lift to drag of aeronautical models .;Knowledge
58;work on a germ-free-life ended up in the creation of which notre dame institute ?;the lobund institute grew out of pioneering research in germ-free-life which began in 1928 .;Synthesis
59;around what time did lobund of notre dame become independent ?;in the 1940s lobund achieved independent status as a purely research organization and in 1950 was raised to the status of an institute .;Knowledge
60;in what year did lobund at notre dame become an institute ?;in the 1940s lobund achieved independent status as a purely research organization and in 1950 was raised to the status of an institute .;Knowledge
61;the lobund institute was merged into the department of biology at notre dame in what year ?;in 1958 it was brought back into the department of biology as integral part of that department , but with its own program leading to the degree of phd in gnotobiotics .;Knowledge
62;when did study of a germ-free-life begin at notre dame ?;the lobund institute grew out of pioneering research in germ-free-life which began in 1928 .;Knowledge
63;gurian created what in 1939 at notre dame ?;the review of politics was founded in 1939 by gurian , modeled after german catholic journals .;Knowledge
64;what was the review of politics inspired by ?;the review of politics was founded in 1939 by gurian , modeled after german catholic journals .;Knowledge
65;over how many years did gurian edit the review of politics at notre dame ?;for 44 years , the review was edited by gurian , matthew fitzsimons , frederick crosson , and thomas stritch .;Evaluation
66;thomas stritch was an editor of which publican from notre dame ?;the review of politics was founded in 1939 by gurian , modeled after german catholic journals .;Knowledge
67;who was the president of notre dame in 2012 ?;the university president , john jenkins , described his hope that notre dame would become `` one of the pre -- eminent research institutions in the world '' in his inaugural address .;Knowledge
68;the kellogg institute for international studies is part of which university ?;the university president , john jenkins , described his hope that notre dame would become `` one of the pre -- eminent research institutions in the world '' in his inaugural address .;Application
69;what does the kroc institute at notre dame focus on ?;the university has many multi-disciplinary institutes devoted to research in varying fields , including the medieval institute , the kellogg institute for international studies , the kroc institute for international peace studies , and the center for social concerns .;Knowledge
70;in what year did notre dame begin to host the global adaptation index ?;as of 2013 , the university is home to the notre dame global adaptation index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt .;Knowledge
71;what threat does the global adaptation index study ?;as of 2013 , the university is home to the notre dame global adaptation index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt .;Application
72;how many undergrads were attending notre dame in 2014 ?;in 2014 the notre dame student body consisted of 12,179 students , with 8,448 undergraduates , 2,138 graduate and professional and 1,593 professional ( law , m.div. , business , m.ed . );Knowledge
73;what percentage of students at notre dame are the children of former notre dame students ?;around 21 -- 24 % of students are children of alumni , and although 37 % of students come from the midwestern united states , the student body represents all 50 states and 100 countries .;Knowledge
74;how many teams participate in the notre dame bookstore basketball tournament ?;the annual bookstore basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year , while the notre dame men 's boxing club hosts the annual bengal bouts tournament that raises money for the holy cross missions in bangladesh .;Knowledge
75;for what cause is money raised at the bengal bouts tournament at notre dame ?;the annual bookstore basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year , while the notre dame men 's boxing club hosts the annual bengal bouts tournament that raises money for the holy cross missions in bangladesh .;Knowledge
76;how many students in total were at notre dame in 2014 ?;in 2014 the notre dame student body consisted of 12,179 students , with 8,448 undergraduates , 2,138 graduate and professional and 1,593 professional ( law , m.div. , business , m.ed . );Knowledge
77;what percentage of undergrads live on the notre dame campus ?;about 80 % of undergraduates and 20 % of graduate students live on campus .;Knowledge
78;how many student housing areas are reserved for notre dame 's graduate students ?;the majority of the graduate students on campus live in one of four graduate housing complexes on campus , while all on-campus undergraduates live in one of the 29 residence halls .;Knowledge
79;how many dorms for males are on the notre dame campus ?;because of the religious affiliation of the university , all residence halls are single-sex , with 15 male dorms and 14 female dorms .;Knowledge
80;what amount of the graduate student body at notre dame live on the campus ?;about 80 % of undergraduates and 20 % of graduate students live on campus .;Knowledge
81;there are how many dorms for females at notre dame ?;because of the religious affiliation of the university , all residence halls are single-sex , with 15 male dorms and 14 female dorms .;Knowledge
82;what is congregation of holy cross in latin ?;the university is affiliated with the congregation of holy cross ( latin : congregatio a sancta cruce , abbreviated postnominals : `` csc '' ) .;Knowledge
83;what percentage of notre dame students feel they are christian ?;while religious affiliation is not a criterion for admission , more than 93 % of students identify as christian , with over 80 % of the total being catholic .;Knowledge
84;how often is catholic mass held at notre dame in a week ?;collectively , catholic mass is celebrated over 100 times per week on campus , and a large campus ministry program provides for the faith needs of the community .;Knowledge
85;how many chapels are on the notre dame campus ?;fifty-seven chapels are located throughout the campus .;Knowledge
86;what amount of the student body of notre dame identifies as catholic ?;while religious affiliation is not a criterion for admission , more than 93 % of students identify as christian , with over 80 % of the total being catholic .;Knowledge
87;what was the music hall at notre dame called ?;eventually becoming known as washington hall , it hosted plays and musical acts put on by the school .;Knowledge
88;in what year was the main building at notre dame razed in a fire ?;this main building , and the library collection , was entirely destroyed by a fire in april 1879 , and the school closed immediately and students were sent home .;Knowledge
89;who was the president of notre dame in 1879 ?;sorin and the president at the time , the rev. william corby , immediately planned for the rebuilding of the structure that had housed virtually the entire university .;Knowledge
90;on what date was the rebuilding of the main building begun at notre dame after the fire that claimed the previous ?;construction was started on the 17th of may and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879 .;Knowledge
91;what did the science hall at notre dame come to be known as ?;by 1880 , a science program was established at the university , and a science hall ( today lafortune student center ) was built in 1883 .;Knowledge
92;what type of education was pushed at notre dame before its embracing of national standards ?;in 1919 father james burns became president of notre dame , and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university 's traditional scholastic and classical emphasis .;Knowledge
93;which college did notre dame add in 1921 ?;by 1921 , with the addition of the college of commerce , notre dame had grown from a small college to a university with five colleges and a professional law school .;Knowledge
94;in 1919 a new president of notre dame was named , who was it ?;in 1919 father james burns became president of notre dame , and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university 's traditional scholastic and classical emphasis .;Synthesis
95;over how many years did the change to national standards undertaken at notre dame in the early 20th century take place ?;in 1919 father james burns became president of notre dame , and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university 's traditional scholastic and classical emphasis .;Analysis
96;those who attended a jesuit college may have been forbidden from joining which law school due to the curricula at the jesuit institution ?;their graduates were shut out of harvard law school for that reason .;Evaluation
97;the notre dame football team got a new head coach in 1918 , who was it ?;knute rockne became head coach in 1918 .;Synthesis
98;what was the amount of wins knute rockne attained at notre dame while head coach ?;under rockne , the irish would post a record of 105 wins , 12 losses , and five ties .;Knowledge
99;in what year did the team lead by knute rockne win the rose bowl ?;during his 13 years the irish won three national championships , had five undefeated seasons , won the rose bowl in 1925 , and produced players such as george gipp and the `` four horsemen '' .;Application
100;how many years was knute rockne head coach at notre dame ?;during his 13 years the irish won three national championships , had five undefeated seasons , won the rose bowl in 1925 , and produced players such as george gipp and the `` four horsemen '' .;Knowledge
101;how many national titles were won when knute rockne coached at notre dame ?;during his 13 years the irish won three national championships , had five undefeated seasons , won the rose bowl in 1925 , and produced players such as george gipp and the `` four horsemen '' .;Knowledge
102;catholic people identified with notre dame , what religious group did people feel yale represented ?;catholics rallied up around the team and listen to the games on the radio , especially when it knocked off the schools that symbolized the protestant establishment in america -- harvard , yale , princeton , and army .;Knowledge
103;notre dame students had a showdown in 1924 with which anti-catholic group ?;the most remarkable episode of violence was the clash between notre dame students and the ku klux klan in 1924 .;Knowledge
104;what type of event did the klan intend to have at notre dame in march of 1924 ?;the klan decided to have a week-long klavern in south bend .;Knowledge
105;where did notre dame students and the kkk have their encounter ?;the klan decided to have a week-long klavern in south bend .;Knowledge
106;which person became vice-president of notre dame in 1933 ?;holy cross father john francis o'hara was elected vice-president in 1933 and president of notre dame in 1934 .;Knowledge
107;who was the president of notre dame in 1934 ?;holy cross father john francis o'hara was elected vice-president in 1933 and president of notre dame in 1934 .;Knowledge
108;irvin abell was given what award by notre dame ?;"during his tenure at notre dame , he brought numerous refugee intellectuals to campus ; he selected frank h. spearman , jeremiah d. m. ford , irvin abell , and josephine brownson for the laetare medal , instituted in 1883 .";Evaluation
109;which year was the laetare medal first given out at notre dame ?;"during his tenure at notre dame , he brought numerous refugee intellectuals to campus ; he selected frank h. spearman , jeremiah d. m. ford , irvin abell , and josephine brownson for the laetare medal , instituted in 1883 .";Knowledge
110;for whos glory did father o'hara believed that the notre dame football team played ?;he wrote , `` notre dame football is a spiritual service because it is played for the honor and glory of god and of his blessed mother .;Knowledge
111;around the time that rev. cavanaugh became president of notre dame by how much did the undergrad student body of notre dame increase ?;cavanaugh 's legacy at notre dame in the post-war years was devoted to raising academic standards and reshaping the university administration to suit it to an enlarged educational mission and an expanded student body and stressing advanced studies and research at a time when notre dame quadrupled in student census , undergraduate enrollment increased by more than half , and graduate student enrollment grew fivefold .;Evaluation
112;which institute involving animal life did cavanaugh create at notre dame ?;cavanaugh also established the lobund institute for animal studies and notre dame 's medieval institute .;Knowledge
113;what is o'shaughnessy hall of notre dame formerly known as ?;cavanaugh also presided over the construction of the nieuwland science hall , fisher hall , and the morris inn , as well as the hall of liberal arts ( now o'shaughnessy hall ) , made possible by a donation from i.a. o'shaughnessy , at the time the largest ever made to an american catholic university .;Knowledge
114;which president did notre dame have in 1947 ?;the rev. john j. cavanaugh , c.s.c. served as president from 1946 to 1952 .;Knowledge
115;outside of an institute studying animals , what other institute did cavanugh create at notre dame ?;cavanaugh also established the lobund institute for animal studies and notre dame 's medieval institute .;Synthesis
116;what was the lifespan of theodore hesburgh ?;the rev. theodore hesburgh , c.s.c. , ( 1917 -- 2015 ) served as president for 35 years ( 1952 -- 87 ) of dramatic transformations .;Knowledge
117;in the time that hesburgh was president of notre dame by what factor did the operating budget increase ?;in that time the annual operating budget rose by a factor of 18 from $ 9.7 million to $ 176.6 million , and the endowment by a factor of 40 from $ 9 million to $ 350 million , and research funding by a factor of 20 from $ 735,000 to $ 15 million .;Evaluation
118;what was the size of the notre dame endowment when theodore hesburgh became president ?;in that time the annual operating budget rose by a factor of 18 from $ 9.7 million to $ 176.6 million , and the endowment by a factor of 40 from $ 9 million to $ 350 million , and research funding by a factor of 20 from $ 735,000 to $ 15 million .;Knowledge
119;during what years was theodor hesburgh president of notre dame ?;the rev. theodore hesburgh , c.s.c. , ( 1917 -- 2015 ) served as president for 35 years ( 1952 -- 87 ) of dramatic transformations .;Knowledge
120;how many faculty members were at notre dame when hesburgh left the role of president ?;enrollment nearly doubled from 4,979 to 9,600 , faculty more than doubled 389 to 950 , and degrees awarded annually doubled from 1,212 to 2,500 .;Knowledge
121;what type of educational institute is hesburgh given credit for creating at notre dame ?;hesburgh is also credited with transforming the face of notre dame by making it a coeducational institution .;Knowledge
122;which role did charles sheedy have at notre dame ?;`` in american college education , '' explained the rev. charles e. sheedy , c.s.c. , notre dame 's dean of arts and letters , `` certain features formerly considered advantageous and enviable are now seen as anachronistic and out of place ... .;Knowledge
123;what title did thomas blantz have at notre dame ?;thomas blantz , c.s.c. , notre dame 's vice president of student affairs , added that coeducation `` opened up a whole other pool of very bright students . '';Knowledge
124;in what year did notre dame have its earliest undergraduate that was female ?;"in 1971 mary ann proctor became the first female undergraduate ; she transferred from st. mary 's college .";Knowledge
125;with what institute did notre dame agree to an exchange program in the 1960s ?;in the mid-1960s notre dame and saint mary 's college developed a co-exchange program whereby several hundred students took classes not offered at their home institution , an arrangement that added undergraduate women to a campus that already had a few women in the graduate schools .;Knowledge
126;during what years was edward malloy president of notre dame ?;in the 18 years under the presidency of edward malloy , c.s.c. , ( 1987 -- 2005 ) , there was a rapid growth in the school 's reputation , faculty , and resources .;Knowledge
127;what was the sat score , on average , at notre dame when edward malloy became president ?;"he increased the faculty by more than 500 professors ; the academic quality of the student body has improved dramatically , with the average sat score rising from 1240 to 1360 ; the number of minority students more than doubled ; the endowment grew from $ 350 million to more than $ 3 billion ; the annual operating budget rose from $ 177 million to more than $ 650 million ; and annual research funding improved from $ 15 million to more than $ 70 million .";Knowledge
128;when malloy became president of notre dame what was the size of the endowment ?;"he increased the faculty by more than 500 professors ; the academic quality of the student body has improved dramatically , with the average sat score rising from 1240 to 1360 ; the number of minority students more than doubled ; the endowment grew from $ 350 million to more than $ 3 billion ; the annual operating budget rose from $ 177 million to more than $ 650 million ; and annual research funding improved from $ 15 million to more than $ 70 million .";Application
129;when malloy reached the end of his time as president how much annuals funding for research did notre dame have ?;"he increased the faculty by more than 500 professors ; the academic quality of the student body has improved dramatically , with the average sat score rising from 1240 to 1360 ; the number of minority students more than doubled ; the endowment grew from $ 350 million to more than $ 3 billion ; the annual operating budget rose from $ 177 million to more than $ 650 million ; and annual research funding improved from $ 15 million to more than $ 70 million .";Application
130;the amount of professors at notre dame increased by what amount under malloy ?;"he increased the faculty by more than 500 professors ; the academic quality of the student body has improved dramatically , with the average sat score rising from 1240 to 1360 ; the number of minority students more than doubled ; the endowment grew from $ 350 million to more than $ 3 billion ; the annual operating budget rose from $ 177 million to more than $ 650 million ; and annual research funding improved from $ 15 million to more than $ 70 million .";Knowledge
131;when did john jenkins become the president of notre dame ?;since 2005 , notre dame has been led by john i. jenkins , c.s.c. , the 17th president of the university .;Knowledge
132;in terms of the amount of presidents notre dame has had , where is john jenkins on the list ?;since 2005 , notre dame has been led by john i. jenkins , c.s.c. , the 17th president of the university .;Knowledge
133;who was the notre dame president that preceded john jenkins ?;jenkins took over the position from malloy on july 1 , 2005 .;Knowledge
134;which arena was constructed under jenkins at notre dame ?;during his tenure , notre dame has increased its endowment , enlarged its student body , and undergone many construction projects on campus , including compton family ice arena , a new architecture hall , additional residence halls , and the campus crossroads , a $ 400m enhancement and expansion of notre dame stadium .;Knowledge
135;how much money was spent on enhancing notre dame stadium under john jenkins ?;during his tenure , notre dame has increased its endowment , enlarged its student body , and undergone many construction projects on campus , including compton family ice arena , a new architecture hall , additional residence halls , and the campus crossroads , a $ 400m enhancement and expansion of notre dame stadium .;Analysis
136;which congregation is in charge of the old college at notre dame ?;the old college building has become one of two seminaries on campus run by the congregation of holy cross .;Knowledge
137;what structure is found on the location of the original church of father sorin at notre dame ?;the current basilica of the sacred heart is located on the spot of fr .;Synthesis
138;in which architectural style is the basilica of the sacred heart at notre dame made ?;it is built in french revival style and it is decorated by stained glass windows imported directly from france .;Knowledge
139;which individual painted the inside of the basilica of the sacred heart at notre dame ?;the interior was painted by luigi gregori , an italian painter invited by fr .;Knowledge
140;in what year was the grotto of our lady of lourdes at notre dame constructed ?;the grotto of our lady of lourdes , which was built in 1896 , is a replica of the original in lourdes , france .;Knowledge
141;in what year did the student union building at notre dame get renamed to lafortune center ?;zahm , but in 1950 it was converted to a student union building and named lafortune center , after joseph lafortune , an oil executive from tulsa , oklahoma .;Knowledge
142;after which individual was the lafortune center notre dame named ?;zahm , but in 1950 it was converted to a student union building and named lafortune center , after joseph lafortune , an oil executive from tulsa , oklahoma .;Knowledge
143;how large in square feet is the lafortune center at notre dame ?;commonly known as `` lafortune '' or `` lafun , '' it is a 4-story building of 83,000 square feet that provides the notre dame community with a meeting place for social , recreational , cultural , and educational activities .;Knowledge
144;what is the annual budget of notre dame 's lafortune center ?;lafortune employs 35 part-time student staff and 29 full-time non-student staff and has an annual budget of $ 1.2 million .;Knowledge
145;how many halls are at notre dame that house students ?;over the years 29 residence halls have been built to accommodate students and each has been constructed with its own chapel .;Knowledge
146;which library was built at notre dame in 1963 ?;many academic building were added together with a system of libraries , the most prominent of which is the theodore hesburgh library , built in 1963 and today containing almost 4 million books .;Knowledge
147;how many books are housed at the theodore hesburgh library ?;many academic building were added together with a system of libraries , the most prominent of which is the theodore hesburgh library , built in 1963 and today containing almost 4 million books .;Knowledge
148;construction for which hall started on march 8th 2007 at notre dame ?;additionally , a new residence for men , duncan hall , was begun on march 8 , 2007 , and began accepting residents for the fall 2008 semester .;Analysis
149;which baseball stadium is found at notre dame ?;also , there are many outdoor fields , as the frank eck stadium for baseball .;Knowledge
150;in what year did notre dame create the office of sustainability ?;the university of notre dame has made being a sustainability leader an integral part of its mission , creating the office of sustainability in 2008 to achieve a number of goals in the areas of power generation , design and construction , waste reduction , procurement , food services , transportation , and water.as of 2012 -lsb- update -rsb- four building construction projects were pursuing leed-certified status and three were pursuing leed silver .;Knowledge
151;what percentage of the food served at notre dame is locally grown ?;notre dame 's dining services sources 40 % of its food locally and offers sustainably caught seafood as well as many organic , fair-trade , and vegan options .;Knowledge
152;notre dame got a `` b '' for its sustainability practices from which entity ?;on the sustainable endowments institute 's college sustainability report card 2010 , university of notre dame received a `` b '' grade .;Comprehension
153;gustavo gutierrez is faculty of which institute ?;the university also houses the kroc institute for international peace studies .;Application
154;in what year did notre dame first have a facility in england ?;the university has had a presence in london , england , since 1968 .;Knowledge
155;at which location is the london center operated by notre dame found ?;since 1998 , its london center has been based in the former united university club at 1 suffolk street in trafalgar square .;Knowledge
156;notre dame has a center in beijing , what is it referred to as ?;other global gateways are located in beijing , chicago , dublin , jerusalem and rome .;Comprehension
157;in what year did the suffolk street location start to house a notre dame facility ?;since 1998 , its london center has been based in the former united university club at 1 suffolk street in trafalgar square .;Knowledge
158;what was notre dame 's first college ?;the college of arts and letters was established as the university 's first college in 1842 with the first degrees given in 1849 .;Knowledge
159;in what year was the the college of arts and letters at notre dame created ?;the college of arts and letters was established as the university 's first college in 1842 with the first degrees given in 1849 .;Knowledge
160;in what year did the college of arts and letters at notre dame grant its first degree ?;the college of arts and letters was established as the university 's first college in 1842 with the first degrees given in 1849 .;Knowledge
161;on which university did notre dame base its curriculum on ?;the university 's first academic curriculum was modeled after the jesuit ratio studiorum from saint louis university .;Knowledge
162;how many ba majors does the college of arts and letters at notre dame offer ?;today the college , housed in o'shaughnessy hall , includes 20 departments in the areas of fine arts , humanities , and social sciences , and awards bachelor of arts ( b.a. ) degrees in 33 majors , making it the largest of the university 's colleges .;Knowledge
163;which president at notre dame created the college of science ?;the college of science was established at the university in 1865 by president father patrick dillon .;Knowledge
164;in what year was the notre dame college of science formed ?;the college of science was established at the university in 1865 by president father patrick dillon .;Knowledge
165;how many years long was a scientific course under patrick dillon at notre dame ?;dillon 's scientific courses were six years of work , including higher-level mathematics courses .;Knowledge
166;which hall at notre dame contains the current college of science ?;today the college , housed in the newly built jordan hall of science , includes over 1,200 undergraduates in six departments of study -- biology , chemistry , mathematics , physics , pre-professional studies , and applied and computational mathematics and statistics ( acms ) -- each awarding bachelor of science ( b.s. ) degrees .;Knowledge
167;how many undergrad students attend the college of science at notre dame today ?;today the college , housed in the newly built jordan hall of science , includes over 1,200 undergraduates in six departments of study -- biology , chemistry , mathematics , physics , pre-professional studies , and applied and computational mathematics and statistics ( acms ) -- each awarding bachelor of science ( b.s. ) degrees .;Knowledge
168;in 1899 notre dame formed which college ?;the school of architecture was established in 1899 , although degrees in architecture were first awarded by the university in 1898 .;Knowledge
169;in what building is the current school of architecture housed at notre dame ?;today the school , housed in bond hall , offers a five-year undergraduate program leading to the bachelor of architecture degree .;Knowledge
170;what length is the course of study at the notre dame school of architecture ?;today the school , housed in bond hall , offers a five-year undergraduate program leading to the bachelor of architecture degree .;Knowledge
171;in which location do students of the school of architecture of notre dame spend their 3rd year ?;all undergraduate students study the third year of the program in rome .;Knowledge
172;which prestigious prize does the school of architecture at notre dame give out ?;it also awards the renowned annual driehaus architecture prize .;Knowledge
