Question;Level
the glass-steagall act of 1933 ( banking act ) restricted the asset powers of commercial banks in us to low-risk underwriting areas. list four ( 4 ) requirements under glass-steagall act of 1933.;Knowledge
briefly explain what a repo is.;Comprehension
elaborate three ( 3 ) channels of the transmission process for monetary policy.;Comprehension
illustrate the effect of an expansionary monetary policy. justify your answer with an appropriate diagram.;Evaluation
define federal fund market. explain in detail its importance to a bank.;Comprehension
explain four ( 4 ) types of unemployment.;Comprehension
compute the duration for a five-year bond , rm1,000 par value bond with a 7 percent annual coupon which is trading at yield to maturity of 5 percent.;Application
identify three ( 3 ) types of securities that are issued by malaysian government. explain each in detail.;Comprehension
discuss four ( 4 ) economic roles of money market.;Comprehension
the glass-steagall act of 1933 and the financial services modernization act of 1999 created impact on commercial banks and investment banks in the us. explain each act in detail.;Comprehension
explain four ( 4 ) off-balance-sheet banking activities which are important but not recorded in a bank 's balance sheet.;Comprehension
if the value of the bond is rm900 and coupon are paid semi-annually , compute the yield to maturity ( ytm ) and the current yield of the bond. interpret your answers.;Application
explain the relationship between bond price and market interest rate using the bond pricing formula.;Comprehension
differentiate bonds that are traded at par , premium and discount.;Analysis
illustrate by using appropriate diagram ( s ) the effects of the most commonly and the least used monetary policy tool on the market interest rate if the central bank implements the expansionary monetary policy.;Comprehension
vince longs a put option on junebank 's stock with a strike price at rm13. currently junebank 's stock is priced at rm15 and the option premium is rm1.50. advise vince whether or not to exercise the option. justify your answer.;Evaluation
 `` the monetary policy is always useful in stimulating the economic growth by increasing the money supply in the market. '' comment on this statement. support your answer with an appropriate diagram.;Evaluation
“china has been practicing low exchange rate for previous decades.” clarify the pros and cons under this practice.;Analysis
explain the securities act of 1933 and the securities exchange act of 1934.;Comprehension
differentiate between commercial letter of credit and standby letter of credit.;Analysis
draw an expiry profit diagram for the gcb bank’s position.;Comprehension
explain the profit and loss for alice and gcb bank.;Comprehension
elaborate five ( 5 ) factors that will influence the demand and supply of a currency.;Comprehension
by using an appropriate diagram , explain how the open market operation ( omo ) can put an upward pressure on the federal fund rate ( ffr ).;Comprehension
banks act as an important institution in the financial system. briefly explain what a bank run is and provide three ( 3 ) causes that lead to its occurrence.;Comprehension
explain what a junk bond is and its role in the financial market.;Comprehension
suggest and explain two ( 2 ) ways to measure a bank 's profitability.;Synthesis
 `` an increase in the money supply will lead to an increase in the market equilibrium interest rate.” comment and justify the above statement with an appropriate diagram.;Evaluation
differentiate primary and secondary reserves of a bank. list three ( 3 ) examples for each reserve.;Analysis
“the us dollar hit its highest levels in years shortly after donald trump won the presidential election in november 2016.” the statement above refers to the strong dollar scenario. explain the pros and cons under this scenario.;Analysis
explain eurocurrency and its market.;Comprehension
stock market serves as an important predictor of economic activities. explain how the stock market values can predict real economic activity.;Comprehension
explain the differences between forward and futures contract.;Comprehension
discuss one ( 1 ) limitation and benefit of duration.;Comprehension
justify the following statement : “the value of a putable bond is never greater than the value of an otherwise comparable option-free bond. `` ;Evaluation
define and discuss the sharpe , treynor , and jensen measures of portfolio performance evaluation by identifying the situations in which each measure is the most appropriate measure.;Application
briefly explain four ( 4 ) advantages and disadvantages of option trading.;Comprehension
the correlation between the s &p 500 index fund and the emerging market fund is zero. consider portfolio a , which consists of 80 % of the s &p index fund and 20 % of the emerging-market fund. calculate portfolio a 's expected return and standard deviation.;Application
explain four ( 4 ) benefits of mutual fund investment.;Comprehension
discuss the implications of efficient market hypothesis for technician ( chartist ) and fundamentalist.;Comprehension
consider a zero coupon bond with a par value of $1000 that has a current price of $436.19 and matures in 10 years. compute its yield to maturity.;Application
calculate sharpe 's measure for the aov portfolio and the market. compare the two ( 2 ) measures , and assess the performance of the aov 's portfolio during the year just ended.;Application
calculate treynor 's measure for aov 's portfolio and the market. compare the two ( 2 ) measures , and assess the performance of the aov 's portfolio during the year just ended.;Application
calculate jensen 's measure ( jensen 's alpha ). use it to assess the performance of the aov 's portfolio during the year just ended.;Application
describe characteristics and importance of secondary market.;Comprehension
 `` portfolio management strategies are different based on investor 's risk preferences and expected return”. based on above statement , briefly discuss two ( 2 ) major portfolio management strategies.;Comprehension
distinguish between stock dividend and stock split by providing one relevant example.;Analysis
the option 's premium represents the price of the option that change over time. discuss four ( 4 ) factors that affecting premium of an option.;Comprehension
 `` trading strategies used by investors of futures and forwards markets help to maintain market efficiency `` . based on the above statement , differentiate between all three ( 3 ) main trading strategy used by futures and forward markets ' investors..;Analysis
define put-call parity. discuss its implications and how arbitrageurs could take advantage of arbitrage opportunities for both options.;Comprehension
identify and elaborate four ( 4 ) determinants of an option 's premium.;Comprehension
discuss three ( 3 ) differences between futures and forward contracts.;Comprehension
"market anomalies are research findings that do not support market efficiency hypothesis ; that is , they are evidence that inefficiencies do exist. discuss five ( 5 ) common market anomalies.";Comprehension
“the efficient market hypothesis ( emh ) states it is impossible to consistently outperform an efficient market and the only way an investor can possibly obtain higher returns is by purchasing riskier investments. '' justify the statement.;Evaluation
discuss two ( 2 ) key differences between stock warrants and stock options.;Comprehension
explain the trading behavior of hedger , speculator and arbitrageur.;Comprehension
determine the intrinsic value of kmk corporation 's common stock.;Application
suggest your recommendation on the investment of kmk corporation 's common stock , if the stock price is traded at $25 currently.;Synthesis
explain why contango and backwardation happen in the commodity market.;Comprehension
a bond fund manager decided to allocate certain percentage of the portfolio in foreign bond market to improve the reward-to-risk ratio. briefly explain three ( 3 ) specific risks related to investing in international bond market.;Comprehension
determine the macaulay duration and estimate the bond price if the yield increases by 100 basis points.;Application
daniel kahneman and amos tversky believe that many stock investors are far from fully rational. explain four ( 4 ) common factors that create irrational market behavior.;Comprehension
discuss the potential profit and loss for the long straddle.;Comprehension
 `` instead of focusing only on investing in local market , some investors also invest in foreign market `` . justify above statement by providing four ( 4 ) benefits of investing in foreign market.;Evaluation
 `` portfolio management strategies are different based on the investor 's risk preferences and expected return `` . based on above statement , explain two ( 2 ) major portfolio management strategies.;Comprehension
distinguish between stock dividend and stock split by providing one relevant example.;Analysis
discuss in detail the sharpe , treynor , and jensen measures of portfolio performance evaluation , by identifying the situations in which each measure is the most appropriate measure.;Application
 `` investment strategies used by the investors of futures and forward markets help to maintain market efficiency `` . based on the above statement , differentiate three ( 3 ) main investment strategies used by futures and forward markets ' investors.;Analysis
provide arguments on how these investment strategies help in maintaining market efficiency.;Comprehension
describe characteristics and importance of secondary market.;Comprehension
discuss four ( 4 ) reasons why capital asset pricing model ( capm ) is not the best model to estimate returns.;Comprehension
“instead of focusing only on investing in local market , some investors also invest in foreign market”. justify above statement by providing four ( 4 ) benefits of investing in foreign market.;Evaluation
discuss in detail the three ( 3 ) major asset allocation strategies in managing portfolio.;Comprehension
according to many researchers , market inefficiencies do exist in most of the stock markets in the world and also known as market anomalies. this situation is contradicted to market efficiency hypothesis. describe six ( 6 ) market inefficiencies that commonly happen in the stock markets.;Comprehension
discuss four ( 4 ) risks involved in trading us-dollar denominated crude palm oil futures contract ( fupo ).;Comprehension
define and explain reinvestment risk with an example.;Comprehension
define put-call parity and express it in equation.;Comprehension
audit committee is responsible to implement and support the monitoring function of the board of directors. develop a list of best practices for audit committee meeting.;Synthesis
nomination committee plays a crucial role in ensuring the continuity of the board of directors into the future. analyse the functions of nomination committee in the context of corporate governance.;Analysis
majority shareholders may be opportunistic at the expense of minority shareholders due to their controlling stake in the company. explain majority agency problem in the context of corporate governance.;Comprehension
shareholder activism is an important governance mechanism because this is how minority shareholders exercise and enforce their rights. comment on the effectiveness of shareholder activism.;Evaluation
there are several corporate governance tools available for institutional shareholders activism. differentiate shareholder resolution and proxy voting;Analysis
malaysian code on corporate governance ( 2012 ) stipulates that there should not be any domination of power by any individual in the board. responsibilities of the ceo and the chairperson must be clearly defined and separated in order to ensure a balance of power and authority. evaluate the advantages and disadvantages of ceo duality.;Evaluation
company directors remain the most important group of people who monitor and control the company on behalf of the shareholders. explain the six ( 6 ) roles of company directors.;Comprehension
independent non-executive directors ( ineds ) play crucial roles in the assurance of effective corporate governance of public listed companies. provide an assessment on the contributions of ineds in promoting effective corporate governance.;Comprehension
being outside directors , independent non-executive directors ( ineds ) do not work in the company on a daily basis. their hands are tied due to the nature of their positions. provide an assessment on the limitations of ineds in the context of corporate governance;Comprehension
internal control system is among the most prominent monitoring mechanisms in promoting effective corporate governance. assuming you are the manager of purchasing department , provide twelve ( 12 ) recommendations on how to prevent staffs from making personal gains from their positions.;Synthesis
one of the biggest challenges in corporate governance is to deal with manipulation of accounting profits. propose nine ( 9 ) suggestions to the malaysian regulatory bodies on how to prevent manipulation of accounts. your recommendations have to be new and must not overlap with the existing malaysian laws , guidelines and systems.;Synthesis
company director can be removed by the shareholders during general meetings. however , the office of a director can become vacant under certain circumstances. discuss four ( 4 ) criteria for vacation of office.;Comprehension
director independence is a pivotal element of corporate governance. illustrate the requirements of `` persons connected with directors '' as stipulated under companies act 2016 section 197 ( 1 ).;Comprehension
related party transaction is a transaction entered into by a plc or its subsidiaries , which involved the interest of the related party. justify the reasons for disclosure of related party transaction.;Evaluation
short term and long term incentives have their own merits in promoting corporate performance. compare and contrast the problems associated with both short term and long term incentives.;Analysis
the higgs report ( 2003 ) is among the first report that discusses the importance of senior independent non-executive director ( senior ined ). analyse the rationales of having senior ined in a company.;Analysis
companies must take reasonable steps to ensure that their investors enjoy equal access to material information. briefly describe six ( 6 ) corporate disclosure policies under main market listing requirements ( mmlr ).;Knowledge
the scope of institutional shareholder activism includes attempts made to bring about changes in a company 's behavior for adoption of good governance practices. differentiate shareholder resolution and proxy voting as the two major tools for institutional shareholder to promote corporate governance.;Analysis
the independence of external auditors is extremely critical due to their roles in providing true and fair view on a company financial position. develop three ( 3 ) safeguards to reduce the threats on external auditors ' independence.;Synthesis
managing and engaging stakeholders have gained important grounds in corporate decision making. provide your justifications for companies to adopt stakeholder model.;Comprehension
there is always an appeal for institutional shareholders to assume an active role in corporate governance. create a list of key recommendations for institutional shareholders activism based on myners report ( 1995 ).;Synthesis
malaysian code on corporate governance ( mccg 2017 ) encourages board of directors to improve shareholders ' participations in decision making. provide recommendations that will lead to more constructive use of annual general meeting ( agm ).;Synthesis
institutional shareholders do not always fare better than the minority shareholders in promoting shareholder activism. assess the impediments of institutional shareholder activism.;Evaluation
criticize the issues in principal – agent theory.;Analysis
state and discuss the approach as prescribed in malaysian code on corporate governance ( mccg ) 2017.;Comprehension
list five ( 5 ) suggestions on how malaysian public listed company director in malaysia can perform 'duty to use reasonable care , skill & diligence '.;Knowledge
state 'corporate governance ' definition as mentioned in cadbury report ( 1992 ). explain malaysian code on corporate governance ( mccg ) 2017 “corporate governance ' definition in details.;Comprehension
suggest five ( 5 ) actions that public mutual berhad ( pmb ) can consider in championing the institutional shareholder activism.;Synthesis
explain the criteria to be a substantial shareholder in malaysia. illustrate what and when a substantial shareholder of a listed company need to comply when he /she holds the directorship in it.;Evaluation
highlight the important issues discussed in greenbury report 1995.;Comprehension
evaluate the characteristics of the board in a two-tier board structure.;Evaluation
identify five ( 5 ) conditions that one needs to meet in order to be an independent director in malaysian public listed company ( plc ).;Knowledge
discuss the components that are integral to the internal control framework in a public listed company.;Comprehension
construct an executive remuneration package using the remuneration framework as a guide.;Application
provide justifications as to why integrity and reliability is important in a company 's annual report and accounts ( aras ) from corporate governance point of view.;Evaluation
the internet has been considered as a low cost option for selling products and services. from a firm 's perspective , explain four ( 4 ) factors that add to the cost of doing business on the internet.;Comprehension
“firms can use existing brand names or create new brands on the internet”. evaluate on the above statement.;Evaluation
discuss the level of trust consumers place in digital media , and how that trust helps or hinders e-marketers.;Comprehension
discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer , infomediary and advertiser.;Evaluation
search engines are key means of attracting traffic to websites. as a new marketing executive with munchy 's malaysia , recommend three ( 3 ) tactics used in search engine marketing ( sem ).;Synthesis
discuss the adoption issues surrounding facebook and internet , as well as their implications for e-marketers.;Comprehension
define social commerce and discuss its advantages for e-marketers.;Comprehension
information technology can be expensive. identify and explain five ( 5 ) factors that put upward pressure on internet pricing for online retailer.;Comprehension
 `` firms can use existing brand names or create new brands on the internet `` . evaluate the above statement.;Evaluation
media planners want both effective and efficient media buys. in your role as a new media planner of a digital marketing agency , explain how would you know you have made an effective advertising buy over the internet.;Comprehension
the internet increases customer benefits in many ways that have revolutionised marketing practices. discuss with examples three ( 3 ) ways in which internet increases customer benefits from products offered online.;Comprehension
crm technology helps companies to collect information about consumer behaviour , conversations and characteristics. as a new digital marketing manager with an online retailer , suggest five ( 5 ) ways how you can collect data and push customised information to customers.;Synthesis
market research firms and product review sites are examples of infomediary. discuss the role and benefits of an infomediary model in the online distribution system.;Comprehension
e-mail marketing has evolved rapidly alongside the technological growth of the 21st century. discuss five ( 5 ) reasons why e-mail marketing is still a growth area in digital marketing.;Comprehension
the 'creators ' and critics ' are the most desired social segments. explain how social media marketers are able to increase these segments ' level of involvement in the social media.;Comprehension
the internet is ideal for gathering people from all corners of the globe into communities with similar interests and tasks. recommend three ( 3 ) ways that can be used to target online communities.;Synthesis
an important step in search engine optimization ( seo ) is to identify relevant keywords for your website. suggest three ( 3 ) offline keyword research methods and two ( 2 ) online keyword research methods in your keyword research efforts.;Synthesis
assume that you have been assigned to run a google ads search advertising campaign for a new café in kampar , perak. recommend five ( 5 ) strategies to develop a successful search advertising campaign for the café.;Synthesis
standard ad formats such as leaderboard and skyscraper are common in digital display advertising. propose five ( 5 ) other creative ad formats which are more interactive and engaging.;Synthesis
you have been assigned by your employer to manage their instagram and facebook business page. suggest five ( 5 ) ways to increase engagement with your social media users.;Synthesis
e-mail newsletters are still popular communication strategy for digital marketers. suggest five ( 5 ) ways to engage with your newsletters subscribers.;Synthesis
describe the three ( 3 ) roles for social media in branding.;Knowledge
using tom duncan 's levels of brand relationship intensity , explain the relationship between apple iphone and its customers.;Comprehension
you are the new online advertising consultant for loreal malaysia. explain to your client seven ( 7 ) important paid media metrics in online advertising.;Comprehension
“millennials and kids are important market segments for e-marketers”. discuss on the above statement.;Comprehension
briefly analyse the six ( 6 ) internal control procedures over the payroll process of a multinational organisation.;Analysis
with respect to the data processing cycle of an organisation , explain the `` garbage in , garbage out `` . briefly discuss on the measures to be taken by the companies to avoid “garbage in '' data input errors.;Comprehension
name and briefly discuss the eight ( 8 ) documents used in the purchase and cash disbursement process of a company.;Comprehension
briefly explain any two ( 2 ) advantages of real time data processing in the sales and cash receipt system.;Comprehension
describe the three ( 3 ) elements of problem structure of a company. contrast a structured problem to an unstructured problem. discuss briefly which levels of management typically deal with structured problems and with unstructured problems.;Analysis
briefly discuss the key segregation of duties that should exist in the traditional manufacturing environment.;Comprehension
by drawing appropriate diagrams , differentiate between flat file model and database model.;Analysis
briefly explain the six ( 6 ) key activities involved in the conversion cycle of a manufacturing company.;Comprehension
differentiate between general controls and application controls. provide one ( 1 ) example for each.;Analysis
briefly explain financial reporting system ( frs ) and identify three ( 3 ) potential risks in frs.;Comprehension
cost benefit analysis is a process that helps management determine whether ( and by how much ) the benefits exceed costs. briefly explain four ( 4 ) intangible benefits.;Comprehension
discuss the advantages of real-time data input and over batch processing in expenditure cycle.;Comprehension
define information systems ( is ).;Knowledge
discuss in details what accounting information systems ( ais ) is.;Comprehension
state two ( 2 ) subsystems of ais.;Knowledge
state your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. provide arguments to support.;Comprehension
discuss any four ( 4 ) underlying principles of lean manufacturing approach.;Comprehension
explain on the advantages of switching from a flat-file processing system to a database management system.;Comprehension
discuss three ( 3 ) types of anomalies associated with database tables that have not been normalized.;Comprehension
briefly explain any two ( 2 ) security objectives of audit trails.;Comprehension
define and contrast digital certificate and digital signature.;Comprehension
explain how transactions are audited in an electronic data interchange environment.;Comprehension
list any three ( 3 ) pairs of system functions that should be separated in the centralized computer services organization and describe a risk exposure if the functions are not separated.;Comprehension
identify and explain another graphical diagram besides network diagram which is useful for planning and scheduling. evaluate the graphical diagram.;Evaluation
list out four ( 4 ) benefits of using rfid.;Knowledge
suggest any five ( 5 ) dimensions of service quality that could be taken into consideration by the kindergarten management for its future operations improvement.;Synthesis
identify any two ( 2 ) advantages of matching demand strategy and level strategy each in preparing aggregate production plan.;Knowledge
list out any six ( 6 ) factors to be considered when designing a layout.;Knowledge
examine cross-docking warehouse layout.;Analysis
